Artist,Year,Popularity
AATA,2019,27.0
ABBA,1976,72.0
ABC,1982,60.0
ABG Neal,2019,46.0
AC/DC,1976,71.42857142857143
AC/DC,1979,83.0
AC/DC,1980,78.33333333333333
AC/DC,1981,58.0
AC/DC,1986,72.0
AC/DC,1990,76.75
AC/DC,1995,62.0
ADAMII,2019,41.0
AFI,2003,39.0
AFI,2006,70.0
AGNEZ MO,2018,51.0
AIELLO,2019,57.5
AINT,2019,47.0
AJ Mitchell,2019,63.55555555555556
AJ Salvatore,2019,42.0
AJ Tracey,2019,68.4
AJ x Deno,2018,67.0
AJR,2019,56.0
AJÉ,2017,0.0
AK Ausserkontrolle,2016,46.714285714285715
AK Ausserkontrolle,2017,46.333333333333336
AKA,2014,31.0
AKA AKA,2019,36.0
AKI,2012,55.0
ALAWIE,2020,43.0
ALESSIA RAISI,2019,35.0
ALLEGRØ,2019,45.0
ALMA,2019,60.0
AM & Shawn Lee,2015,35.0
AMAANDA,2019,32.0
AMARI,2020,40.0
AMAZING MAZE,2019,6.0
AMiR,2018,0.0
ANAVITÓRIA,2019,63.0
ANG,2019,35.666666666666664
ANIMAL HACK,2019,37.0
ANNA,2016,34.0
ANNA,2018,25.0
APEK,2017,22.0
APEK,2018,30.0
ARASHI,2019,64.66666666666667
AREA21,2016,4.0
AREA21,2017,55.0
ARIA,2019,46.0
ARMAN,2019,41.0
ARMNHMR,2016,48.0
ARMNHMR,2019,48.0
ARMNHMR,2020,38.0
ARTY,2013,24.0
ARTY,2019,47.5
ARTY,2020,59.0
ARVVB,2016,0.0
AS IT IS,2015,8.0
ASADI,2018,41.0
ASADI,2019,35.0
ASOBOiSM,2018,29.0
ASOBOiSM,2020,23.0
ASP,2007,0.0
ASP,2014,0.0
ASTR,2014,47.0
ATEEZ,2019,72.0
ATEEZ,2020,72.0
ATRIP,2019,34.0
ATTLAS,2016,43.0
ATYPISK,2019,62.666666666666664
AVA,2019,74.0
AVEC,2015,10.0
AViVA,2017,68.0
AW,2019,42.0
AWA,2019,45.5
AWASAKI,2018,22.0
AWAY,2019,46.0
AWOLNATION,2017,12.0
AWOLNATION,2019,65.0
AYA A.K.A PANDA,2019,42.0
AZ,2006,0.0
AZ'1,2015,5.0
AZIA,2019,35.0
